professor_name,school_name,department_name,local_name,state_name,year_since_first_review,star_rating,take_again,diff_index,tag_professor,num_student,post_date,name_onlines,name_not_onlines,student_star,student_difficult,attence,for_credits,would_take_agains,grades,help_useful,help_not_useful,comments,word_comment,gender,race,asian,hispanic,nh_black,nh_white,gives_good_feedback,caring,respected,participation_matters,clear_grading_criteria,skip_class,amazing_lectures,inspirational,tough_grader,hilarious,get_ready_to_read,lots_of_homework,accessible_outside_class,lecture_heavy,extra_credit,graded_by_few_things,group_projects,test_heavy,so_many_papers,beware_of_pop_quizzes,IsCourseOnline
Laurie  Ross,Mt. San Jacinto College (all campuses),English department, San Jacinto, CA,13.0,4.1,,2.6,Gives good feedback (4)  EXTRA CREDIT (3)  Get ready to read (2)  Participation matters (2)  LOTS OF HOMEWORK (1)  Caring (1)  Respected (1),18.0,09/27/2006,NAN,ENG101,4.0,3.0,,,,,0.0,0.0,Good teacher. Hard grader and bad handwriting but still nice.,10.0,male,hispanic,0.024647135,0.6740735999999999,0.118453026,0.18282624,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
Michael  Rooney,Pasadena City College,Philosophy department, Pasadena, CA,6.0,3.5,75%,3.8,Tough Grader (9)  Skip class? You won\'t pass. (5)  Get ready to read (5)  LECTURE HEAVY (4)  Amazing lectures (3)  Clear grading criteria (2)  EXTRA CREDIT (1)  Participation matters (1)  Hilarious (1)  Gives good feedback (1)  TEST HEAVY (1)  Respected (1)  Inspirational (1),92.0,01/16/2016,NAN,PHIL01,4.0,4.0,Mandatory,Yes,,B,4.0,7.0,The class was 3 hours long but his lectures made it feel so much shorter. He\'s clearly passionate and extremely knowledgeable about the subject. He has high expectations of his students so be ready to make an effort if you want to pass. As for those of us who survived to the end of the semester we loved him.,59.0,male,hispanic,0.0050965566,0.8897763000000001,0.013233071,0.09189419,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0
John  Ferguson,Eastern Kentucky University,Education department, Richmond, KY,14.0,4.3,,1.4,Respected (1)  Inspirational (1)  Caring (1),15.0,03/01/2004,NAN,ELE322,2.5,1.0,,,,,0.0,0.0,Not a fair grader. Shows a lot of bias.,9.0,male,nh_white,0.020318355,0.04913254,0.46115834,0.4693908,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Nina-Nash  Robertson,Central Michigan University,Music department, Mount Pleasant, MI,14.0,4.0,,1.7,Inspirational (4)  Respected (3)  Hilarious (2)  Caring (1)  Participation matters (1)  Skip class? You won\'t pass. (1),27.0,10/25/2006,NAN,MUS183A,5.0,2.0,,,,,0.0,0.0,Nina is a great choir director and an amazing woman!,10.0,male,nh_white,0.023864917,0.40464708,0.052973956,0.5185141,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Pat  Sawyer,Middlesex Community College,Psychology department, Middletown, CT,5.0,4.7,,1.8,,37.0,02/23/2011,NAN,PSY111,5.0,3.0,,,,,0.0,0.0,This professor is probably the best the college has. I took her online and on ground and she is fabulous. Very helpful and will go out of her way to help you. I highly recommend this professor. She is the best!,41.0,male,nh_white,0.046299808,0.05869125,0.07174887,0.82326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carol  Bennet,Western Michigan University,English department, Kalamazoo, MI,6.0,4.3,,3.2,,10.0,08/31/2005,NAN,WRITING,5.0,4.0,,,,,0.0,0.0,Sort of hard but very good.,6.0,male,nh_white,0.01608045,0.4161487,0.041194953,0.5265759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brett  Tjaden,James Madison University,Computer Science department, Harrisonburg, VA,15.0,3.7,,3.4,Caring (1)  Clear grading criteria (1)  Tough Grader (1)  LECTURE HEAVY (1)  LOTS OF HOMEWORK (1)  Amazing lectures (1)  GRADED BY FEW THINGS (1),19.0,06/30/2005,NAN,CS625,5.0,3.0,,,,,0.0,0.0,best class i ever took,5.0,male,hispanic,0.008827338,0.7100167,0.025462637,0.2556933,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0
Duane  Griffin,Bucknell University,Geography department, Lewisburg, PA,9.0,3.2,,3.9,ACCESSIBLE OUTSIDE CLASS (1)  Tough Grader (1)  GROUP PROJECTS (1),30.0,04/12/2010,NAN,GEOG101,2.0,4.0,,,,,0.0,1.0,not clear at all about subject/grading,6.0,male,nh_white,0.0054330197,0.01601682,0.026112778,0.95243734,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
Richard  Davis,Sam Houston State University,Communication department, Huntsville, TX,2.0,3.9,,4.0,,10.0,10/09/2003,NAN,RTV330,1.0,5.0,,,,,0.0,0.0,"""Dr"" Davis my hiney! He\'s just a Marxist raving lunatic.",10.0,male,nh_black,0.0058958,0.011314099,0.53534377,0.44744632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anthony  James,Coastal Carolina Community College,History department, Jacksonville, NC,3.0,4.2,100%,3.3,Get ready to read (8)  Tough Grader (7)  Caring (5)  Amazing lectures (4)  Skip class? You won\'t pass. (3)  Respected (3)  GROUP PROJECTS (2)  LOTS OF HOMEWORK (2)  Gives good feedback (2)  Inspirational (2)  Clear grading criteria (2)  Participation matters (1)  LECTURE HEAVY (1)  ACCESSIBLE OUTSIDE CLASS (1)  Hilarious (1),46.0,11/10/2016,NAN,ACA122,4.0,3.0,Mandatory,Yes,Yes,B+,0.0,0.0,Just keep up with your work and you will be fine,11.0,male,hispanic,0.006852621,0.85611624,0.025865553,0.11116557,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0
Amin  Ibrahim,University of Texas Rio Grande Valley (all campuses),Chemistry department, Multiple Cities, TX,11.0,4.0,,2.5,Hilarious (1)  Caring (1),22.0,10/14/2005,NAN,CHEM1101,3.0,2.0,,,,,0.0,0.0,He\'s an ok lab teacher. The only problem is that he is not around when you need to ask questiones he is usually in his office working on other classes.,30.0,male,hispanic,0.03348534,0.64015883,0.061941482,0.2644143,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Jim  Curtis,University of Waterloo,Sociology department, Waterloo, ON,3.0,4.5,,1.9,,33.0,09/29/2003,NAN,SOC101DE,4.5,1.0,,,,,0.0,0.0,Easy course don\'t bother too much with the tapes. Read the text and practice with assignments. Exam is all the assignments put together.,23.0,male,nh_white,0.038046364,0.12749305,0.33395854,0.500502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brett  Tjaden,James Madison University,Computer Science department, Harrisonburg, VA,15.0,3.7,,3.4,Caring (1)  Clear grading criteria (1)  Tough Grader (1)  LECTURE HEAVY (1)  LOTS OF HOMEWORK (1)  Amazing lectures (1)  GRADED BY FEW THINGS (1),19.0,05/09/2005,NAN,CS635,1.5,5.0,,,,,0.0,1.0,No Comments,2.0,male,hispanic,0.008827338,0.7100167,0.025462637,0.2556933,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0
Karlene  Ferrante,University of Wisconsin - Stevens Point,Communication department, Stevens Point, WI,11.0,3.6,,2.3,GROUP PROJECTS (3)  Gives good feedback (1)  Tough Grader (1)  Respected (1)  LOTS OF HOMEWORK (1)  Clear grading criteria (1)  Participation matters (1)  Caring (1),21.0,04/15/2008,NAN,COMM271,4.0,1.0,,,,,0.0,0.0,This class was really easy. The workload wasn\'t high AT ALL. I think some people are just too lazy to do a 10 minute assignment before class. She\'s a very easy grader and even gives you opportunities to miss assignments without a penalty. You teach the class twice with a group and it\'s also easy. It doesn\'t take much planning at all! EASY!!!,63.0,male,nh_black,0.005918894,0.01312325,0.7136111999999999,0.26734668,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
Julia  Scott,McGill University,Accounting department, Montreal, QC,12.0,3.9,,3.1,Clear grading criteria (2)  Amazing lectures (2)  Respected (2)  Skip class? You won\'t pass. (1)  Tough Grader (1)  LECTURE HEAVY (1)  Gives good feedback (1)  Participation matters (1),49.0,12/04/2010,NAN,ACCT354,2.5,3.0,,,,,0.0,0.0,Prof. Scott is supposedly one of the most qualified accounting professors. However her ability to explain things such as pension plans is limited and her slides are not very clear and useful for exam review. Be sure to master fundamental accounting materials before taking her class.,46.0,male,nh_white,0.005143909,0.010325925,0.23030634,0.7542238,1,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Mulloy  Robertson,Volunteer State Community College,Mathematics department, Gallatin, TN,4.0,1.9,,3.7,,31.0,01/12/2010,NAN,PREC1710,2.0,4.0,,,,,0.0,0.0,IS VERY CONFUSING AND LOSES HIMSELF WHEN LECTURING. HE DOES NOT EXPLAIN THINGS WELL AND THEN WHEN HE GOES OVER A TEST HE TELLS YOU LITTLE TRICKS YOU CAN USE; WHICH HE SHOULD TELL YOU WHEN HE IS EXPLAINING HOW TO DO THE MATH PROBLEMS. TALKS ALOT IN CLASS ABOUT TANGENT THINGS THAT DO NOT APPLY TO MATH LIKE HOW HOT THE CASHIER THAT WAITED ON HIM.,67.0,male,nh_white,0.03493577,0.083610445,0.26067016,0.6207835999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Theodore  Zeman,Saint Joseph\'s University,History department, Philadelphia, PA,10.0,3.6,,3.0,Get ready to read (4)  Tough Grader (3)  LECTURE HEAVY (3)  SO MANY PAPERS (2)  Gives good feedback (1)  Participation matters (1)  TEST HEAVY (1)  Caring (1)  Hilarious (1)  Amazing lectures (1),35.0,05/16/2007,NAN,HIWCII,5.0,2.0,,,,,0.0,0.0,you never have to read... he pretty much tells reads the chapter for you in class... great teacher and very helpful... take him,23.0,male,nh_black,0.013686804,0.06106241,0.5123842000000001,0.41286662,1,1,0,1,0,0,1,0,1,1,1,0,0,1,0,0,0,1,1,0,0
Frederick  Frank,Volunteer State Community College,Biology department, Gallatin, TN,5.0,4.1,,3.0,,38.0,11/28/2010,NAN,BIOL2010,5.0,2.0,,,,,0.0,0.0,I think he is an awesome teacher. I had to retake this class after summer 5wk course that was awful. Dr. Frank actually taught me something and was always willing to help. He does not over-complicate things at all. Hands out study guides of what will be on tests and offers extra credit.,53.0,male,nh_white,0.03493577,0.083610445,0.26067016,0.6207835999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bruce  Martin,Oakland Community College - Royal Oak,Physical Ed department, Royal Oak, MI,5.0,3.9,67%,2.3,Skip class? You won\'t pass. (9)  EXTRA CREDIT (7)  Inspirational (7)  Clear grading criteria (5)  Get ready to read (4)  Gives good feedback (4)  Participation matters (3)  Tough Grader (3)  LECTURE HEAVY (3)  Caring (2)  Hilarious (2)  GRADED BY FEW THINGS (2)  Respected (2)  GROUP PROJECTS (1)  BEWARE OF POP QUIZZES (1)  LOTS OF HOMEWORK (1)  Amazing lectures (1),68.0,09/24/2016,NAN,PER1300,5.0,3.0,Mandatory,Yes,Yes,B,0.0,0.0,Bruce was wonderful. Not only did he teach me tons about meditation stress management and prevention he offered a wealth of other knowledge as well.,25.0,male,hispanic,0.017949367,0.5316649999999999,0.0064697544999999,0.4439158,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0
Valerie  Allen,John Jay College of Criminal Justice,English department, New York, NY,12.0,4.1,,3.3,Hilarious (1)  Gives good feedback (1)  Inspirational (1),15.0,06/19/2015,NAN,LIT300,5.0,4.0,Mandatory,Yes,,A,0.0,0.0,A pleasure to have this professor. Very precise helpful and a great sense of humor. Would take her again,19.0,male,hispanic,0.038639273,0.39265642,0.2436363,0.325068,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Desmond  Hamlet,Denison University,English department, Granville, OH,2.0,2.7,,3.7,,25.0,01/10/2005,NAN,ENGLISH,1.0,4.0,,,,,0.0,0.0,bad bad bad,3.0,male,nh_black,0.0027697857,0.009523001,0.68443924,0.30326787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mary  Galvin,Butte College,History department, Oroville, CA,3.0,1.9,,4.0,,12.0,12/24/2003,NAN,USHISTORY,1.0,5.0,,,,,0.0,0.0,DOn\'t take from her.,4.0,male,nh_white,0.026005246,0.09061331,0.18252882,0.70085263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mary Lou  Frank,Kennesaw State University,Psychology department, Kennesaw, GA,11.0,2.5,,3.2,,9.0,04/19/2006,NAN,PSYCH,1.5,3.0,,,,,0.0,0.0,No Comments,2.0,male,nh_black,0.004541946,0.010388728,0.65937746,0.3256919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Casim  Abbas,Michigan State University,Mathematics department, East Lansing, MI,14.0,4.0,,3.6,LOTS OF HOMEWORK (4)  Respected (3)  Hilarious (3)  Caring (3)  Amazing lectures (1)  Tough Grader (1)  Gives good feedback (1)  Skip class? You won\'t pass. (1),19.0,09/08/2005,NAN,MTH133,5.0,2.0,,,,,0.0,1.0,Abbas is the****.,3.0,male,nh_white,0.03986928,0.030179767,0.15899506,0.7709559,1,1,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Marc  Stern,Bentley University,History department, Waltham, MA,11.0,3.2,,3.9,LECTURE HEAVY (1)  Get ready to read (1)  LOTS OF HOMEWORK (1),28.0,05/09/2008,NAN,HI258,4.0,4.0,,,,,0.0,0.0,Boring class. Grades kind of hard but if you put in the time you can do well in this class. He knows what he\'s doing and is always willing to help.,31.0,male,nh_white,0.010527529,0.09152519,0.23516609,0.6627812,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Tracy  Bryson,Purdue University - West Lafayette,English department, West Lafayette, IN,10.0,2.4,,4.1,,14.0,11/16/2005,NAN,ENG106,1.0,3.0,,,,,1.0,1.0,Crazy Tracy... that sums it all up!!,7.0,male,nh_black,0.006942934,0.040246822,0.718433,0.23437722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frank  Mitchell,Camden County College,Psychology department, Blackwood, NJ,4.0,4.3,80%,1.9,EXTRA CREDIT (9)  Amazing lectures (5)  Hilarious (5)  Get ready to read (4)  Inspirational (4)  LECTURE HEAVY (3)  Clear grading criteria (2)  Participation matters (2)  Skip class? You won\'t pass. (1)  Caring (1)  Respected (1)  Gives good feedback (1),105.0,05/04/2018,PSY104,NAN,1.0,3.0,Not Mandatory,Yes,No,B,1.0,0.0,Hes very rude and talks nonsense to the whole class. He gives out answers but changes the subject too much. I feel like I am not getting the proper learning I should be getting. Hes worse by far. I dont understand how hes an easy class of does not teach but talk useless information. I am trying to get a career here.,62.0,male,nh_white,0.044139627,0.08642085,0.031003002,0.83843654,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,1
Diane  Reid,Indiana University Southeast,Communication department, New Albany, IN,8.0,4.5,,2.8,Tough Grader (3)  Gives good feedback (3)  Respected (2)  BEWARE OF POP QUIZZES (2)  LOTS OF HOMEWORK (1)  Skip class? You won\'t pass. (1)  Hilarious (1)  Get ready to read (1),34.0,02/22/2018,NAN,S122,5.0,2.0,Mandatory,Yes,Yes,A,0.0,0.0,She\'s freaking awesome!! She\'s super enthusiastic so there\'s never a dull moment. She seems to really care about her students. I really enjoy her class and would recommend her to anyone.,31.0,male,nh_white,0.011795173,0.07335346,0.13582584,0.77902555,1,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0
Dona  Fletcher,Sinclair Community College,Sociology department, Dayton, OH,11.0,1.5,,4.2,Tough Grader (3)  LOTS OF HOMEWORK (2)  SO MANY PAPERS (2)  LECTURE HEAVY (1)  Clear grading criteria (1),41.0,05/02/2012,NAN,SOC120,4.0,4.0,,,,,0.0,0.0,I think that she is a great teacher. If you are haveing issues in her class all you have to do is talk to her and she will help you out. She will not fail you if you try in her class.,42.0,male,nh_white,0.02086632,0.08255704,0.39454907,0.5020276,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0
James  Arvo,University of California Irvine,Engineering department, Irvine, CA,6.0,4.6,,2.7,,27.0,03/25/2005,NAN,EECS12,5.0,2.0,,,,,0.0,0.0,"Awesome guy. Lectures aren\'t really boring and he does have extensive knowledge about the subjects he teaches. Likes naming sample functions/methods ""foo"" or ""bar"" heh. I recommend him.",28.0,male,nh_white,0.041626584,0.30135983,0.049820285,0.60719323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
David  Cooper,Case Western Reserve University,Economics department, Cleveland, OH,5.0,4.0,,2.6,,22.0,11/29/2005,NAN,ECON309,1.5,5.0,,,,,0.0,0.0,I STRONGLY dislike this man. Class is interesting enough but he spends the whole time talking about these interesting case studies and experiments... that do not help you at all on the test. The weekly quizzes are a pain and regularly going to class and reading book won\'t help you on the tests.,53.0,male,nh_white,0.012090117,0.1465351,0.32199353,0.5193812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jerry  Jones,El Centro College,Music department, Dallas, TX,11.0,3.6,,1.7,Clear grading criteria (1),18.0,11/13/2010,NAN,MUSI1141,1.5,1.0,,,,,1.0,0.0,"Jerry Jones is a useless teacher his students have no idea what they are missing as far as higher music theory education goes. I feel sorry for students who take their first two years of college theory from him because they are going to be in for a rough ride when they transfer . Mr. J is ""nice"" but definitely not suited to teach college.",65.0,male,hispanic,0.009131134,0.84731174,0.02213018,0.12142684,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clare  Johnson,Fashion Institute of Technology,Mathematics department, New York, NY,12.0,2.4,40%,3.5,Tough Grader (5)  Skip class? You won\'t pass. (2)  LOTS OF HOMEWORK (1)  Participation matters (1)  LECTURE HEAVY (1)  Get ready to read (1),33.0,04/26/2016,MA321,NAN,1.0,4.0,Mandatory,Yes,,,2.0,0.0,She\'s the worst teacher I have ever had when it comes to math. She doesn\'t respond to questions and is rude. When you ask a question she will simply ignore it. The videos she posts are full of mistakes . Why do teachers teach anymore if they seem to not care about their students?,54.0,male,nh_white,0.02704217,0.14060116,0.02729806,0.80505866,0,0,0,1,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1
Jessica  Wyman,The Ontario College of Art and Design University (OCAD U),Art History department, Toronto, ON,15.0,3.7,,3.4,,14.0,08/30/2004,NAN,,4.5,3.0,,,,,0.0,0.0,Her lectures were always well organized and informed. She was an awesome prof to have. You can tell she knows what she is talking about.,25.0,male,hispanic,0.01491375,0.6913993,0.03906717,0.2546197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Suzanne  Bernhardt,Bryn Athyn College,English department, Bryn Athyn, PA,14.0,2.6,,3.7,SO MANY PAPERS (1)  Get ready to read (1)  EXTRA CREDIT (1),16.0,01/28/2006,NAN,WRITING101,4.5,3.0,,,,,0.0,0.0,good,1.0,male,nh_white,0.009075307,0.031216262,0.44335094,0.51635754,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
Casim  Abbas,Michigan State University,Mathematics department, East Lansing, MI,14.0,4.0,,3.6,LOTS OF HOMEWORK (4)  Respected (3)  Hilarious (3)  Caring (3)  Amazing lectures (1)  Tough Grader (1)  Gives good feedback (1)  Skip class? You won\'t pass. (1),19.0,01/03/2006,NAN,MTH133,5.0,4.0,,,,,1.0,0.0,hes hilarious i liked the lectures,6.0,male,nh_white,0.03986928,0.030179767,0.15899506,0.7709559,1,1,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
J  Burton,Volunteer State Community College,Psychology department, Gallatin, TN,3.0,4.8,,3.3,,4.0,08/18/2005,NAN,CHILDPSYCH,5.0,3.0,,,,,0.0,0.0,Not an easy class but a good one to take. Gave take home tests that were very hard but manageable. Also had a couple papers to write - not too hard though. Was an overall good professor to take! Would recommend to anyone!,43.0,male,nh_white,0.03493577,0.083610445,0.26067016,0.6207835999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bruce  Martin,Oakland Community College - Royal Oak,Physical Ed department, Royal Oak, MI,5.0,3.9,67%,2.3,Skip class? You won\'t pass. (9)  EXTRA CREDIT (7)  Inspirational (7)  Clear grading criteria (5)  Get ready to read (4)  Gives good feedback (4)  Participation matters (3)  Tough Grader (3)  LECTURE HEAVY (3)  Caring (2)  Hilarious (2)  GRADED BY FEW THINGS (2)  Respected (2)  GROUP PROJECTS (1)  BEWARE OF POP QUIZZES (1)  LOTS OF HOMEWORK (1)  Amazing lectures (1),68.0,01/08/2016,NAN,PER2540,5.0,1.0,Mandatory,Yes,,A+,0.0,0.0,i have had him for 2 classes now. He is great. Pay attention in his classes and show up since he gives points for attendence. I got a 4.0 both times ive taken him. Love him!,36.0,male,hispanic,0.017949367,0.5316649999999999,0.0064697544999999,0.4439158,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0
Jennifer  Austin,Winthrop University,Music department, Rock Hill, SC,13.0,4.7,,2.0,Gives good feedback (1)  Tough Grader (1)  Clear grading criteria (1),27.0,04/25/2008,NAN,MUSC180,3.5,2.0,,,,,0.0,1.0,She is an ok teacher but I think she should act more professional and keep her personal life personal,19.0,male,nh_white,0.0072265817,0.013167376,0.016106816,0.96349925,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
